Make,Car Model,Year Model,OE Battery ,Energizer Replacement,bestbuy id
NISSAN,Urvan Escapade,2004,N70,D31L,1996
NISSAN,Urvan Estate,,,,
NISSAN,,,,,
NISSAN,NV 350 Urvan (Caravcan),2015,N70,D31L,1996
NISSAN,Vanette,1993 - on,NS50,D23L,1983
NISSAN,Verita,2000 - on,NS60,B24LS,1988/1985
NISSAN,X-Trail 2.0 L 2WD ,2004,NS50,D23L,1983
NISSAN,X-Trail 2.5 L 4WD 250,,,,
NISSAN,X-Trail 2.5 L 4WD 250X,,,,
NISSAN,X-Trail (All Variants),2015,NS50,D23L,1983
NISSAN,X-Trail (All Variants),2016,NS50,D23L,1983
NISSAN,350Z MT,,NS50,D23L,1983
NISSAN,350Z AT,,NS50,D23L,1983
NISSAN,GTR 3.8 V6,2012 - 2015,NS40,B20L,1990
OPEL,Astra ,1999 - on,DIN66,DIN66,2001/2004
OPEL,Omega,1998 - on,DIN88,DIN88,2003
OPEL,Tigra ,1999 - on,DIN66,DIN66,2001/2004
OPEL,Vectra,1998 - on,DIN66,DIN66,2001/2004
PEUGEOT,1007,,DIN44,DIN44,
PEUGEOT,206,,DIN44,DIN44,
PEUGEOT,307,,DIN44,DIN44,
PEUGEOT,407,,DIN66,DIN66,2001/2004
PEUGEOT,301,2012 - on,DIN70,,
PEUGEOT,308,2012 - on,DIN70,,
PEUGEOT,2008,2012 - on,DIN70,,
PEUGEOT,5008,2012 - on,DIN70,,
PEUGEOT,508,2012 - on,DIN70,,
PEUGEOT,208,2012 - on,DIN70,,
PEUGEOT,Expert,2012 - on,DIN70,,
PEUGEOT,RCZ,2012 - on,DIN55,,2002
PEUGEOT,Partner Van,,DIN88,DIN88,
NISSAN,Cefiro,1989 - on,NS50,D23L,1983
NISSAN,Classic,1988 - 1993,N70,D31L,1996
NISSAN,Eagle,1991 - 1999,N70,D31L,1996
NISSAN,Estate 2.7 (E25) New Estate,,N70,D31L,1996
NISSAN,Estate 2.7 (E25) Closed Van,,N70,D31L,1996
NISSAN,Exalta,2000 - on,NS50,D23L,1983
NISSAN,Frontier,1999 - on,N70,D31R,1998
NISSAN,Frontier Bravado,,N70,D31R,1998
NISSAN,Frontier Navarra 2.5 CRDI Turbo,2007 - on,N70,D31L,1996
NISSAN,Frontier Navarra Brute 2.5 4x4 MT,2011,N70,D31L,1996
NISSAN,Frontier Navarra Brute 2.5XL 4x4 MT,2011,N70,D31L,1996
NISSAN,Frontier Navarra Krome Edition 2.5 CRDI 4x4 MT,2011,N70,D31L,1996
NISSAN,Frontier Navarra Krome Edition 2.5 CRDI 4x4 AT,2011,N70,D31L,1996
NISSAN,Almera (N17) 1.2/1.5 (Versa in the US),2012,NS60,B24LS,1988/1985
NISSAN,NP300 Navarra 2.5LI (All Variants),2015,N70,110D31L,
NISSAN,Grand Livina 1.8 XL Elite,,NS60,B24LS,1988/1985
NISSAN,Grand Livina 1.8 XR Luxury ,,NS60,B24LS,1988/1985
NISSAN,Grand Livina 2.8 XV Elegance,,NS60,B24LS,1988/1985
NISSAN,Maxima,1987 - 1991,NS50,D23L,1983
NISSAN,Altima,2015,NS50,D23L,1983
NISSAN,Murano ,,NS50,D23L,1983
NISSAN,Pathfinder,1989 - 1999,N70,D31L,1996
NISSAN,Patrol,1989 - on,N70,D31L,1996
NISSAN,Patrol Safari 3.0 DSL,2007 - on,N70,D31L,1996
NISSAN,Patrol Safari 4.5 Gas,2007 - on,N70,D26L,1995
NISSAN,Patrol Super Safari,,N70,D31L,1996
NISSAN,Patrol Royale,2012,NS50,D23L,1983
NISSAN,Sentra GX MT,1991 - on,NS50,D23L,1983
NISSAN,Sentra GX MT (PWR),1991 - on,NS50,D23L,1983
NISSAN,Sentra GX AT,1991 - on,NS50,D23L,1983
NISSAN,Sentra GSX MT,1991 - on,NS50,D23L,1983
NISSAN,Sentra GS,1991 - on,NS50,D23L,1983
